Model,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
LangDetect,0.339,0.525,0.664,0.757,0.818,0.855,0.878,0.909,0.931,0.94,0.948,0.964,0.969,0.972,0.974,0.981,0.983,0.986,0.984,0.985
LangDetectSpacy,0.344,0.531,0.665,0.748,0.817,0.854,0.881,0.906,0.928,0.94,0.953,0.957,0.968,0.972,0.974,0.98,0.984,0.984,0.985,0.984
LangFromStopwords,0.308,0.505,0.625,0.704,0.763,0.816,0.855,0.884,0.895,0.904,0.917,0.934,0.951,0.963,0.968,0.97,0.973,0.981,0.981,0.981
LangFromChars,0.391,0.538,0.692,0.768,0.818,0.846,0.86,0.877,0.889,0.899,0.91,0.919,0.926,0.93,0.937,0.945,0.945,0.949,0.947,0.948
AzureTextAnalytics,0.566,0.754,0.847,0.888,0.927,0.941,0.949,0.961,0.964,0.969,0.973,0.979,0.982,0.985,0.985,0.986,0.987,0.987,0.988,0.99
